Arxiv ID, Title, Authors, Type
1503.08823, "Identification of galaxy cluster substructures with the Caustic method", Yu et al., RES
1503.08826, "On the Statistics of Biased Tracers in the Effective Field Theory of Large Scale Structures", Angulo et al., RES NEW
1503.08850, "Radio astronomy in Africa: the case of Ghana", Duah Asabere et al., RES ROAD INST
1408.2640, "Galaxy Ecosystems: gas contents, inflows and outflows", Lu et al., RES 
1504.00117, "Catalogues of isolated galaxies, isolated pairs, and isolated triplets in the local Universe", Argudo-Fernandez et al., RES
1504.00324, "Non-local bias in the halo bispectrum with primordial non-Gaussianity", Tellarini et al., RES NEW
1504.00351, "On Separate Universes", Dai et al., NEW RES
1504.00008, "The evolution of streams in a time-dependent potential", Buist & Helmi, RES
1504.00032, "How smooth are particle trajectories in a LCDM Universe?", Rampf et al., RES NEW
1504.00077, "An observational detection of the bridge effect of void filaments", Shim et al., RES
1504.00006, "Network Analysis of Cosmic Structures : Network Centrality and Topological Environment", Hong & Dey, RES 
1504.00005, "An Increasing Stellar Baryon Fraction in Bright Galaxies at High Redshift", Finkelstein et al., RES
1504.00362, "The Illustris Simulation: Public Data Release", Nelson et al., RES REF 
1504.00366, "Characterizing the Jeans Filtering Scale of the Intergalactic Medium", Kulkarni et al., RES
1504.00493, "The Square Kilometer Array: cosmology, pulsars and other physics with the SKA", Combes, NEW REF
1504.00360, "Force-free black hole jet power from impedance matching", Penna, nEW
1504.00737, "An Extragalactic Spectroscopic Survey of the SSA22 Field", Saez et al., RES
1504.00718, "Local gravitational redshifts can bias cosmological measurements", Wojtak et al., RES NEW
1504.00740, "Cosmological constraints from the redshift dependence of the Alcock-Paczynski test and volume effect: galaxy two-point correlation function", Li et al., RES 
1504.00900, "Circumstellar Dust Around AGB Stars and Implications for Infrared Emission from Galaxies", Villaume et al., RES 
1504.01160, "The statistical mechanics of planet orbits", Tremaine, FUN RES
1504.02100, "Testing General Relativity with Growth rate measurement from Sloan Digital Sky Survey Baryon Oscillations Spectroscopic Survey galaxies", Alam et al., RES NEW
1504.02120, "A Global Star Forming Episode in M31 2-4 Gyr Ago", Williams et al., RES NEW
1504.02135, "Geometric Biases in Power-Spectrum Measurements", Samushia et al., RES NEW
1504.02200, "A One-Dimensional Model for Rayleigh-Taylor Instability in Supernova Remnants", Duffell, RES
1504.02447, "Where are compact groups in the local Universe?", Diaz-Gimenez & Zandivarez, RES
1504.02446, "Indirect Evidence for Escaping Ionizing Photons in Local Lyman Break Galaxy Analogs", Alexandroff et al., RES
1504.02048, "Dark matter annihilation and decay in dwarf spheroidal galaxies: The classical and ultrafaint dSphs", Bonnivard et al., RES
1504.01437, "The unexpected diversity of dwarf galaxy rotation curves", Oman et al., RES
1504.01507, "The wrong rotation curve of the Milky Way", Chemin et al., RES
1504.01734, "Evidence for PopIII-like stellar populations in the most luminous Lyman-Î± emitters at the epoch of re-ionisation: spectroscopic confirmation", Sobral et al., RES
1504.02091, "The intrinsic ellipticity of dwarf spheroidal galaxies: constraints from the Andromeda system", Salomon et al., RES